排名,代码,名称,市值亿USD,收盘,涨跌%,RSI6,RSI前值,RSI状态,RSI穿越,短通道,主通道,长通道,通道事件,SPMO持仓%,数据源,复权,截至
SPMO,SPMO,标普500动量ETF-Invesco,,152.18,0.17,66.35,65.35,,,上,上,上,,,tencent,raw,2026-09-24
1,NVDA,英伟达,54229,224.58,-0.41,56.36,59.36,,,上,上,内,,8.98226,tencent,raw,2026-09-24
2,AAPL,苹果,49025,335.92,-0.33,59.49,64.34,,,上,上,上,,,tencent,raw,2026-09-24
3,GOOGL,谷歌-A,41870,342.36,1.34,46.22,37.83,,,下,上,上,主通道:break_up,4.539319,tencent,raw,2026-09-24
4,GOOG,谷歌-C,41461,339.01,1.20,46.24,38.28,,,下,上,上,主通道:break_up|长通道:break_up,3.600915,tencent,raw,2026-09-24
5,MSFT,微软,36974,497.93,-0.53,50.22,55.18,,,上,上,上,,,tencent,raw,2026-09-24
6,AMZN,亚马逊,26899,249.38,0.04,39.98,39.65,,,下,上,下,,,tencent,raw,2026-09-24
7,META,Meta Platforms,19809,777.59,4.50,88.08,83.35,超买,,上,上,上,,,tencent,raw,2026-09-24
8,AVGO,博通,16725,350.36,-1.30,40.99,47.08,,,下,下,下,,6.029852,tencent,raw,2026-09-24
9,TSLA,特斯拉,14927,377.94,-0.57,66.50,72.02,,out_ob,上,内,上,超买回落|主通道:reenter_down,,tencent,raw,2026-09-24
10,MU,美光科技,12203,1080.53,0.81,71.24,69.62,超买,into_ob,上,上,上,新进超买,10.71664,tencent,raw,2026-09-24
11,BRK.B,伯克希尔B,10814,505.18,-0.39,42.79,47.55,,,下,上,上,短通道:break_down,,tencent,raw,2026-09-24
12,LLY,礼来,10535,1181.89,2.68,68.13,48.42,,,上,上,上,短通道:break_up,,tencent,raw,2026-09-24
13,AMD,超威半导体,10273,629.26,2.38,83.20,80.55,超买,,上,上,上,,4.306581,tencent,raw,2026-09-24
14,JPM,摩根大通,9000,338.56,0.31,25.28,21.09,超卖,,下,上,上,,,tencent,raw,2026-09-24
15,WMT,沃尔玛,8536,107.59,-2.66,46.79,73.74,,out_ob,下,下,下,超买回落|短通道:break_down,,tencent,raw,2026-09-24
16,V,Visa,6908,367.98,1.79,48.89,25.91,,out_os,内,上,上,超卖回升|短通道:reenter_up,,tencent,raw,2026-09-24
17,XOM,埃克森美孚,6667,162.14,0.56,50.29,46.21,,,上,上,上,短通道:break_up,3.271594,tencent,raw,2026-09-24
