排名,代码,名称,市值亿USD,收盘,涨跌%,RSI6,RSI前值,RSI状态,RSI穿越,短通道,主通道,长通道,通道事件,SPMO持仓%,数据源,复权,截至
18,JNJ,强生,6523,270.68,0.56,62.43,51.78,,,上,上,上,,4.78324,tencent,raw,2026-09-24
19,MA,万事达,4959,566.08,1.10,48.49,34.66,,,下,上,上,,,tencent,raw,2026-09-24
20,ABBV,艾伯维公司,4685,265.12,0.02,70.16,69.99,超买,into_ob,上,上,上,新进超买,,tencent,raw,2026-09-24
21,PLTR,Palantir,4628,192.59,0.42,82.79,82.07,超买,,上,上,上,,1.620139,tencent,raw,2026-09-24
22,ORCL,甲骨文,4219,139.54,-3.47,31.37,40.23,,,下,下,下,,,tencent,raw,2026-09-24
23,CSCO,思科,4217,106.97,0.51,39.80,36.20,,,下,上,上,,1.891365,tencent,raw,2026-09-24
24,COST,好市多,3976,896.48,-0.91,37.56,49.70,,,下,下,内,长通道:reenter_down,,tencent,raw,2026-09-24
25,BAC,美国银行,3918,56.03,0.05,14.02,13.29,超卖,,下,下,上,,,tencent,raw,2026-09-24
26,LRCX,泛林集团,3844,307.16,-0.04,63.45,63.63,,,上,上,内,,3.133648,tencent,raw,2026-09-24
27,KO,可口可乐,3791,88.1,0.01,48.40,48.26,,,内,上,上,,1.41823,tencent,raw,2026-09-24
28,AMAT,应用材料,3764,474.25,-0.03,69.18,69.34,,,内,上,上,,1.714074,tencent,raw,2026-09-24
29,CAT,卡特彼勒,3702,805.25,-0.83,49.56,56.81,,,下,内,上,短通道:break_down|主通道:reenter_down,2.437115,tencent,raw,2026-09-24
30,MRK,默沙东,3651,147.98,-0.07,51.62,52.20,,,上,上,上,,,tencent,raw,2026-09-24
31,DELL,戴尔科技,3408,536.02,-2.51,44.35,51.20,,,内,上,上,短通道:reenter_down,,tencent,raw,2026-09-24
32,PG,宝洁,3384,145.68,-1.16,43.53,57.97,,,下,下,下,短通道:break_down|主通道:break_down,,tencent,raw,2026-09-24
33,UNH,联合健康,3366,375.01,1.00,39.09,24.38,,out_os,下,下,下,超卖回升,,tencent,raw,2026-09-24
34,GE,GE航天航空,3318,319.78,-0.01,47.74,47.81,,,下,下,上,,1.654557,tencent,raw,2026-09-24
35,PANW,派拓网络,3190,389.92,-0.86,70.19,75.08,超买,,上,上,上,,,tencent,raw,2026-09-24
36,MS,摩根士丹利,3083,196.32,-1.04,22.28,25.58,超卖,,下,下,上,主通道:break_down,0.982614,tencent,raw,2026-09-24
37,NFLX,奈飞,2986,71.72,0.50,31.04,27.87,,out_os,下,下,下,超卖回升,,tencent,raw,2026-09-24
38,PM,菲利普莫里斯,2985,191.5,0.35,58.29,55.20,,,上,上,上,,1.464772,tencent,raw,2026-09-24
39,HD,家得宝,2915,292.18,-1.53,26.47,31.68,超卖,into_os,下,下,下,新进超卖,,tencent,raw,2026-09-24
40,GS,高盛,2688,923.29,-1.40,24.22,28.42,超卖,,下,下,上,,1.373547,tencent,raw,2026-09-24
41,CRWD,CrowdStrike,2659,259.67,-1.07,74.20,79.55,超买,,上,下,下,,,tencent,raw,2026-09-24
42,ANET,"Arista Networks, Inc.",2594,205.7,1.10,66.87,62.55,,,上,上,上,,,tencent,raw,2026-09-24
43,GEV,GE Vernova,2544,955.04,0.34,61.44,59.81,,,内,上,,,1.332286,tencent,raw,2026-09-24
44,RTX,雷神技术,2542,188.61,-1.86,19.62,28.51,超卖,,下,下,上,,1.601547,tencent,raw,2026-09-24
45,TMO,赛默飞世尔,2508,678.39,1.97,85.21,79.80,超买,,上,上,上,,,tencent,raw,2026-09-24
46,WFC,富国银行,2485,82.18,0.34,22.32,19.09,超卖,,下,下,上,,,tencent,raw,2026-09-24
47,TXN,德州仪器,2472,270.65,-0.72,62.48,70.17,,out_ob,上,上,上,超买回落,,tencent,raw,2026-09-24
48,KLAC,科磊,2442,187.11,-0.40,66.86,69.32,,,内,下,下,,1.267277,tencent,raw,2026-09-24
49,MRVL,迈威尔科技,2327,258.95,-0.75,71.30,75.24,超买,,上,上,上,,,tencent,raw,2026-09-24
50,AMGN,安进,2195,406.04,-0.01,62.12,62.21,,,上,上,上,,,tencent,raw,2026-09-24
51,LIN,林德,2158,468.14,-0.34,55.40,59.96,,,内,下,上,,,tencent,raw,2026-09-24
52,IBM,IBM,2139,227.06,-2.45,32.51,42.96,,,下,下,下,,,tencent,raw,2026-09-24
53,QCOM,高通,2075,194.26,-1.51,62.99,69.98,,,上,上,上,,,tencent,raw,2026-09-24
54,VZ,威瑞森通信,1966,47.32,1.72,35.13,18.34,,out_os,下,上,上,超卖回升|主通道:break_up,,tencent,raw,2026-09-24
55,CRM,赛富时,1961,238.22,0.27,42.70,41.17,,,内,上,上,,,tencent,raw,2026-09-24
56,DE,迪尔股份,1874,694.94,-2.05,57.27,77.18,,out_ob,上,上,上,超买回落,,tencent,raw,2026-09-24
57,GILD,吉利德科学,1856,149.69,-1.11,51.74,63.48,,,上,上,上,,0.955674,tencent,raw,2026-09-24
58,ADI,亚德诺,1854,382.61,-0.68,61.93,67.13,,,上,上,上,,0.748081,tencent,raw,2026-09-24
59,DIS,迪士尼,1823,105.56,2.03,53.68,37.67,,,上,上,下,短通道:break_up|主通道:break_up,,tencent,raw,2026-09-24
60,PEP,百事可乐,1749,128.15,-1.56,17.74,23.82,超卖,,下,下,下,,,tencent,raw,2026-09-24
61,ABT,雅培,1749,101.07,-2.34,25.58,43.51,超卖,into_os,下,下,下,新进超卖,,tencent,raw,2026-09-24
62,T,美国电话电报,1744,25.45,0.59,46.49,41.01,,,内,上,上,,,tencent,raw,2026-09-24
63,SCHW,嘉信理财,1721,99.49,-0.01,20.88,20.90,超卖,,下,下,上,,0.694728,tencent,raw,2026-09-24
64,ETN,伊顿,1709,440,0.28,69.19,68.36,,,上,上,上,,,tencent,raw,2026-09-24
65,MCD,麦当劳,1677,237.02,-0.55,16.67,17.88,超卖,,下,下,下,,,tencent,raw,2026-09-24
66,BLK,贝莱德,1662,1073.45,1.18,49.36,41.21,,,下,上,上,主通道:break_up,,tencent,raw,2026-09-24
67,UNP,联合太平洋,1628,274.07,-0.53,31.61,34.49,,,下,内,上,主通道:reenter_down,,tencent,raw,2026-09-24
68,PFE,辉瑞,1619,28.41,0.82,76.18,69.59,超买,into_ob,上,上,上,新进超买,,tencent,raw,2026-09-24
69,DHR,丹纳赫,1573,223.77,1.00,83.05,80.33,超买,,上,上,上,,,tencent,raw,2026-09-24
70,COP,康菲石油,1554,129.34,0.98,42.71,37.22,,,下,上,上,,,tencent,raw,2026-09-24
71,TJX,TJX公司,1448,131.63,0.03,66.11,65.92,,,内,下,内,,,tencent,raw,2026-09-24
72,NOW,现在服务公司,1424,137.78,-2.13,49.73,60.10,,,上,下,下,,,tencent,raw,2026-09-24
73,UBER,优步,1414,69.22,-0.29,23.15,24.38,超卖,,下,下,下,,,tencent,raw,2026-09-24
74,ISRG,直觉外科公司,1411,399.52,0.31,74.17,72.91,超买,,上,下,下,,,tencent,raw,2026-09-24
75,VRTX,福泰制药,1324,522.38,1.17,57.69,45.60,,,上,上,上,短通道:break_up,,tencent,raw,2026-09-24
76,CB,安达保险,1292,334.84,-0.11,26.80,28.01,超卖,,下,上,上,,,tencent,raw,2026-09-24
77,PLD,安博,1272,133.82,-0.10,34.24,35.10,,,下,下,上,,,tencent,raw,2026-09-24
78,BMY,施贵宝,1256,61.5,0.57,23.18,13.87,超卖,,下,上,上,,,tencent,raw,2026-09-24
79,LMT,洛克希德马丁,1209,523.7,-0.19,34.75,35.99,,,下,下,上,,0.528548,tencent,raw,2026-09-24
80,COF,第一资本信贷,1206,196.61,0.26,22.72,19.85,超卖,,下,下,上,,,tencent,raw,2026-09-24
81,SPGI,标普全球,1189,403.25,-0.80,34.31,39.61,,,下,下,下,,,tencent,raw,2026-09-24
82,BKNG,Booking Holdings Inc. Common Stock,1183,157.41,0.97,15.17,8.06,超卖,,下,下,下,,,tencent,raw,2026-09-24
83,PGR,前进保险,1173,202.17,-0.47,13.81,14.76,超卖,,下,下,下,,,tencent,raw,2026-09-24
84,MO,奥驰亚,1150,68.88,-0.10,46.16,47.43,,,下,上,上,短通道:break_down,0.508101,tencent,raw,2026-09-24
85,VLO,瓦莱罗能源,1102,382.86,1.87,45.49,36.30,,,内,上,上,,,tencent,raw,2026-09-24
86,MPC,马拉松石油,1098,390.95,0.66,40.03,35.98,,,内,上,上,,,tencent,raw,2026-09-24
87,ACN,埃森哲,1086,177.41,-3.33,33.32,44.48,,,下,下,下,短通道:break_down,,tencent,raw,2026-09-24
88,SBUX,星巴克,1068,93.65,-0.52,13.56,15.01,超卖,,下,下,下,,,tencent,raw,2026-09-24
89,LOW,劳氏,1058,188.49,-1.50,28.14,34.28,超卖,into_os,下,下,下,新进超卖,,tencent,raw,2026-09-24
90,APP,Applovin,1046,312.47,-0.88,41.14,43.58,,,下,下,下,,,tencent,raw,2026-09-24
91,ADP,自动数据处理公司,1045,263.11,-0.22,22.17,23.10,超卖,,下,上,上,,,tencent,raw,2026-09-24
92,SYK,史赛克,1035,269.75,-1.34,22.83,27.58,超卖,,下,下,下,,,tencent,raw,2026-09-24
93,EQIX,易昆尼克斯,1021,1034.76,-0.28,49.00,50.90,,,下,上,上,短通道:break_down,,tencent,raw,2026-09-24
94,PSX,Phillips 66,1021,255.87,-0.24,38.91,40.07,,,内,上,上,,,tencent,raw,2026-09-24
95,MCK,麦克森,1014,869.36,-1.27,35.17,42.99,,,下,上,上,短通道:break_down,0.574145,tencent,raw,2026-09-24
96,CME,芝加哥商品交易所,967,268.91,-0.70,38.08,42.00,,,下,下,上,,,tencent,raw,2026-09-24
97,SO,美国南方公司,954,82.89,-0.69,11.85,13.78,超卖,,下,下,下,,,tencent,raw,2026-09-24
98,CEG,星座能源,927,261.62,-0.86,38.31,42.13,,,下,下,内,长通道:reenter_down,,tencent,raw,2026-09-24
99,HCA,HCA医疗,917,423.48,-2.98,44.04,69.90,,,内,内,上,短通道:reenter_down|主通道:reenter_down,,tencent,raw,2026-09-24
100,MAR,万豪酒店,917,351.51,-0.04,75.20,75.78,超买,,上,上,上,,,tencent,raw,2026-09-24
